episode,episode_reward,smoothed_reward
400,-3746.0,-134037.34999999998
401,-4822.0,-134033.63
402,-4298.0,-134033.86000000002
403,-4657.0,-134025.37000000002
404,-1004276.0,-134034.25
405,-3605.0,-154022.02999999997
406,-3968.0,-154025.93000000002
407,-3917.0,-164022.45
408,-3044.0,-164018.85
409,-3950.0,-164025.81000000003
410,-4270.0,-164044.56000000003
411,-3728.0,-164039.19
412,-3545.0,-174035.21000000002
413,-3364.0,-174020.45
414,-1003858.0,-174017.09999999998
415,-4274.0,-184018.0
416,-3942.0,-184025.09999999998
417,-1004124.0,-184021.17999999996
418,-1003946.0,-194022.81999999998
419,-3559.0,-194027.05999999997
420,-3426.0,-194027.51999999996
421,-3752.0,-194034.02
422,-4273.0,-184037.84
423,-3884.0,-174040.42
424,-3968.0,-174029.87000000002
425,-3904.0,-174029.93000000002
426,-3897.0,-194025.24000000002
427,-3758.0,-184016.99000000005
428,-4300.0,-184028.39000000004
429,-1003018.0,-184033.53000000003
430,-4330.0,-184035.39
431,-4068.0,-184034.87999999998
432,-3388.0,-184034.65999999997
433,-4476.0,-184044.43999999997
434,-3547.0,-184037.28999999998
435,-3581.0,-194030.1
436,-4282.0,-224016.12
437,-4406.0,-224012.97999999998
438,-3772.0,-224010.17999999996
439,-5203.0,-223999.46
440,-4288.0,-223996.1
441,-1003374.0,-223992.69000000003
442,-4082.0,-213990.92
443,-4286.0,-213994.11000000002
444,-4292.0,-213994.41
445,-3841.0,-204005.68
446,-4495.0,-214001.59
447,-1002858.0,-214005.03
448,-3382.0,-213999.87
449,-4653.0,-223991.75
450,-3914.0,-223999.88000000003
451,-4324.0,-234004.90000000002
452,-3082.0,-233995.85000000003
453,-4840.0,-233991.53000000006
454,-2003458.0,-233980.72000000006
455,-3929.0,-233980.62000000005
456,-1003922.0,-243986.95000000004
457,-4345.0,-243981.13
458,-4772.0,-243981.5
459,-4959.0,-243994.36
460,-3380.0,-243993.96
461,-1003350.0,-253990.62
462,-3752.0,-253990.98
463,-3927.0,-253996.27000000002
464,-1003981.0,-254005.09
465,-4296.0,-244007.82
466,-3896.0,-244008.0
467,-1004140.0,-244007.77000000002
468,-4308.0,-254008.59
469,-4322.0,-244014.34
470,-4616.0,-244008.78999999998
471,-4296.0,-244015.12999999998
472,-4190.0,-244023.85
473,-3620.0,-244025.50000000003
474,-3942.0,-254025.24
475,-2004194.0,-254019.31999999998
476,-3392.0,-254017.94
477,-4828.0,-264021.77999999997
478,-4773.0,-264020.47000000003
479,-4112.0,-264025.89
480,-4233.0,-264030.59
481,-4249.0,-264030.47000000003
482,-4906.0,-264029.57
483,-3948.0,-264047.47000000003
484,-1004476.0,-264042.31
485,-3002958.0,-264049.60000000003
486,-3586.0,-274047.31000000006
487,-3862.0,-274039.6
488,-3750.0,-304026.53
489,-3940.0,-304028.0
490,-3563.0,-304016.99
491,-1003374.0,-304017.42000000004
492,-4285.0,-294022.93000000005
493,-4318.0,-304024.53
494,-4296.0,-314024.56999999995
495,-1003184.0,-314020.52999999997
496,-4298.0,-324024.88
497,-3768.0,-324024.98000000004
498,-1003869.0,-324026.08999999997
499,-4588.0,-324027.85000000003
500,-1004248.0,-334016.62
501,-3917.0,-334020.6
502,-3866.0,-334016.56
503,-3576.0,-334032.17
504,-1004266.0,-334026.69
505,-1004238.0,-314031.15
506,-3386.0,-314022.54999999993
507,-3954.0,-304016.97
508,-4330.0,-304013.08
509,-3910.0,-314004.5
510,-1003936.0,-314001.57
511,-3764.0,-313998.17000000004
512,-4074.0,-304000.98
513,-4246.0,-303997.49999999994
514,-4131.0,-303991.5
515,-4292.0,-293994.53
516,-3919.0,-293985.31
517,-2004206.0,-293986.05000000005
518,-4521.0,-283987.77
519,-3004.0,-283988.97000000003
520,-4060.0,-283988.79000000004
521,-4624.0,-283981.75
522,-4438.0,-293978.03
523,-1003858.0,-293969.85
524,-3376.0,-293967.38999999996
525,-3766.0,-293970.94999999995
526,-1004281.0,-273971.98999999993
527,-3627.0,-273980.88999999996
528,-4842.0,-273971.62
529,-1003488.0,-273966.04000000004
530,-4318.0,-283964.2800000001
531,-3978.0,-293952.17000000004
532,-5178.0,-293952.95
533,-3960.0,-293939.8
534,-4276.0,-293941.3
535,-1003352.0,-283939.51999999996
536,-3511.0,-253936.91000000003
537,-3003099.0,-253934.85000000003
538,-3919.0,-253938.94
539,-4102.0,-253946.52
540,-4331.0,-253953.44
541,-3925.0,-253964.63
542,-1004242.0,-243961.69
543,-1004290.0,-243958.11000000002
544,-3888.0,-253950.66
545,-1004276.0,-253942.97
546,-4505.0,-243957.44999999998
547,-1002969.0,-243957.15
548,-3558.0,-243962.31
549,-1003530.0,-233966.36000000002
550,-4312.0,-243962.86000000002
551,-3920.0,-233963.69
552,-4643.0,-233967.63999999998
553,-4292.0,-233968.37
554,-3904.0,-233973.08
555,-3069.0,-223964.1
556,-3364.0,-213960.8
557,-3956.0,-213966.16
558,-1003914.0,-213964.26000000004
559,-4666.0,-213960.18000000005
560,-3040.0,-213947.81000000006
561,-3631.0,-203951.25000000003
562,-3404.0,-203956.65000000002
563,-3327.0,-203949.79000000004
564,-4284.0,-213938.96
565,-3374.0,-213940.49000000002
566,-3970.0,-243919.11000000002
567,-4312.0,-243919.22
568,-4428.0,-223923.96
569,-4304.0,-223918.71999999997
570,-3912.0,-223921.27999999997
571,-1003924.0,-233906.99
572,-3372.0,-233909.01
573,-3374.0,-233898.29000000004
574,-4298.0,-233902.25
